policy,sigma,seed,hit_rate,cwhr,cost_saved
ARC,1.0,43,0.8454,0.8455111621009903,354.35994015720905
S3-FIFO,1.0,43,0.819,0.8214171197901367,344.26195000152194
LRU,0.0,44,0.8574,0.8617373197558628,356.8042429659157
LFU,0.0,44,0.861,0.8648240247718573,358.0823000039967
FIFO,0.0,44,0.8362,0.8451342817342684,349.9297183556695
GDSF,0.0,44,0.869,0.8752878222482058,362.4148584896323
W-TinyLFU,0.0,44,0.8326,0.8325449304478922,344.71706961435694
ARC,0.0,44,0.8614,0.8655447800061993,358.3807303027169
S3-FIFO,0.0,44,0.8312,0.8324489105030183,344.677312343835
LRU,0.1,44,0.8574,0.8617373197558628,356.8042429659157
LFU,0.1,44,0.861,0.8648240247718573,358.0823000039967
FIFO,0.1,44,0.8362,0.8451342817342684,349.9297183556695
GDSF,0.1,44,0.8694,0.8755942053748289,362.541717100773
W-TinyLFU,0.1,44,0.8326,0.8325449304478922,344.71706961435694
ARC,0.1,44,0.8614,0.8655447800061993,358.3807303027169
S3-FIFO,0.1,44,0.8312,0.8324489105030183,344.677312343835
LRU,0.2,44,0.8574,0.8617373197558628,356.8042429659157
LFU,0.2,44,0.861,0.8648240247718573,358.0823000039967
FIFO,0.2,44,0.8362,0.8451342817342684,349.9297183556695
GDSF,0.2,44,0.869,0.8754018919554244,362.46208930416987
W-TinyLFU,0.2,44,0.8326,0.8325449304478922,344.71706961435694
ARC,0.2,44,0.8614,0.8655447800061993,358.3807303027169
S3-FIFO,0.2,44,0.8312,0.8324489105030183,344.677312343835
LRU,0.5,44,0.8574,0.8617373197558628,356.8042429659157
LFU,0.5,44,0.861,0.8648240247718573,358.0823000039967
FIFO,0.5,44,0.8362,0.8451342817342684,349.9297183556695
GDSF,0.5,44,0.8682,0.8745193139228309,362.0966559179646
W-TinyLFU,0.5,44,0.8326,0.8325449304478922,344.71706961435694
ARC,0.5,44,0.8614,0.8655447800061993,358.3807303027169
S3-FIFO,0.5,44,0.8312,0.8324489105030183,344.677312343835
LRU,1.0,44,0.8574,0.8617373197558628,356.8042429659157
LFU,1.0,44,0.861,0.8648240247718573,358.0823000039967
FIFO,1.0,44,0.8362,0.8451342817342684,349.9297183556695
GDSF,1.0,44,0.8658,0.8715971841634362,360.88674162883484
W-TinyLFU,1.0,44,0.8326,0.8325449304478922,344.71706961435694
ARC,1.0,44,0.8614,0.8655447800061993,358.3807303027169
S3-FIFO,1.0,44,0.8312,0.8324489105030183,344.677312343835
