policy_name,workload_name,cache_size,n,cwhr_mean,cwhr_std,hr_mean,dollar_savings_mean
FIFO,high_variance_cost,10000,30,0.023632875001992314,0.0023713710167501995,0.023823333333333332,7.297287689440409
FIFO,high_variance_cost,25000,30,0.06022524791253881,0.0037322043096344342,0.06057333333333333,18.594312491451266
FIFO,high_variance_cost,50000,30,0.12163483302990306,0.004895882092135823,0.12130666666666666,37.56569365714656
FIFO,high_variance_cost,100000,30,0.24189300280039808,0.0068597451533244196,0.24215333333333333,74.69665835712021
FIFO,high_variance_cost,200000,30,0.4773634545871354,0.009700662121082318,0.47650666666666663,147.41264321670462
FIFO,high_variance_cost,1000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
FIFO,high_variance_cost,5000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
FIFO,high_variance_cost,10000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
FIFO,high_variance_cost,50000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
FIFO,high_variance_cost,100000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,30,0.03665151935835746,0.003313642590083718,0.01761,11.311306381758099
"GDSF(a=1.0,b=1.0)",high_variance_cost,25000,30,0.09563338258375668,0.0052089385969965925,0.04405333333333334,29.520077751295084
"GDSF(a=1.0,b=1.0)",high_variance_cost,50000,30,0.19559413234138842,0.007977692350666955,0.08873333333333333,60.379781916688835
"GDSF(a=1.0,b=1.0)",high_variance_cost,100000,30,0.39150327859253214,0.0178239354632028,0.17709666666666665,120.82667878699893
"GDSF(a=1.0,b=1.0)",high_variance_cost,200000,30,0.7252389033729038,0.018431658406790435,0.3451866666666667,223.90326343785512
"GDSF(a=1.0,b=1.0)",high_variance_cost,1000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
"GDSF(a=1.0,b=1.0)",high_variance_cost,5000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
"GDSF(a=1.0,b=1.0)",high_variance_cost,50000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
"GDSF(a=1.0,b=1.0)",high_variance_cost,100000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LFU,high_variance_cost,10000,30,0.02166675657360164,0.003995630262566908,0.024893333333333333,6.693417006382806
LFU,high_variance_cost,25000,30,0.059383129954236474,0.006351287993032598,0.06076333333333333,18.333817426129755
LFU,high_variance_cost,50000,30,0.12116703999230191,0.009766366631794664,0.12133,37.418700436079554
LFU,high_variance_cost,100000,30,0.23921052223047337,0.013471939423075983,0.24121,73.86767678953198
LFU,high_variance_cost,200000,30,0.474690995149036,0.01855776322362326,0.47729999999999995,146.56993756284734
LFU,high_variance_cost,1000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LFU,high_variance_cost,5000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LFU,high_variance_cost,10000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LFU,high_variance_cost,50000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LFU,high_variance_cost,100000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LRU,high_variance_cost,10000,30,0.023597893989368124,0.002319836586487831,0.023729999999999998,7.2875250489277414
LRU,high_variance_cost,25000,30,0.06033394719146471,0.003616405867429014,0.06068333333333333,18.630650733350237
LRU,high_variance_cost,50000,30,0.12186700464682729,0.004906987765688446,0.12156333333333333,37.640752640568834
LRU,high_variance_cost,100000,30,0.24106077704128703,0.006916154149974324,0.2416866666666667,74.44343131534464
LRU,high_variance_cost,200000,30,0.47555846144050967,0.009901223298028023,0.4755766666666667,146.86810430365307
LRU,high_variance_cost,1000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LRU,high_variance_cost,5000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LRU,high_variance_cost,10000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LRU,high_variance_cost,50000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
LRU,high_variance_cost,100000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
Random,high_variance_cost,10000,30,0.02388300944545107,0.002316556423187313,0.023763333333333334,7.37420662346375
Random,high_variance_cost,25000,30,0.06076945708954246,0.004655367364604119,0.060566666666666664,18.75986327714969
Random,high_variance_cost,50000,30,0.12188173435036807,0.004861481517636689,0.12163333333333333,37.65070537967406
Random,high_variance_cost,100000,30,0.2425270281029285,0.007960837445904643,0.24205333333333334,74.89895281903266
Random,high_variance_cost,200000,30,0.4759751428861053,0.009152616164591695,0.4753966666666667,146.98889323024702
Random,high_variance_cost,1000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
Random,high_variance_cost,5000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
Random,high_variance_cost,10000000,30,0.8998512058683513,0.0013652819699853797,0.9000066666666666,277.98557956920286
