alpha,beta,run,hit_rate,cwhr,savings_dollar,latency_ms
0.0,2.0,3,0.2734,0.5146887859959645,0.7555513000000036,183.7206423500064
0.0,2.0,4,0.3166,0.5216214784088795,0.9199228499999976,172.87228201437267
0.0,2.0,5,0.2586,0.47222079883505974,0.8031320499999993,187.57818416282046
0.0,2.0,6,0.2922,0.6265629893567352,1.2813811500000098,179.00787202560485
0.0,2.0,7,0.2638,0.5715857329902225,1.125630099999997,186.63862229250864
0.0,2.0,8,0.2854,0.6312469553998648,1.312095750000017,180.89874541717936
0.0,2.0,9,0.3396,0.6110657381934872,1.2538364999999887,166.23526378087988
0.5,0.0,0,0.349,0.1596335475347618,0.30990960000000184,164.47706376993474
0.5,0.0,1,0.3706,0.22194362835931192,0.41585914999999785,160.5213096396092
0.5,0.0,2,0.359,0.18615864998132217,0.2870819000000021,162.67897094634318
0.5,0.0,3,0.3628,0.1410793902084287,0.2071013000000001,161.74403217136552
0.5,0.0,4,0.3518,0.1623913508132556,0.2863906499999992,164.2073034988782
0.5,0.0,5,0.3752,0.13169260352466458,0.2239769000000015,159.2732502225801
0.5,0.0,6,0.34,0.2463232890591159,0.5037546499999983,167.47262213603267
0.5,0.0,7,0.376,0.1321985930054068,0.2603401500000008,159.66194599296745
0.5,0.0,8,0.3576,0.1516693712005122,0.31525655000000286,163.22184877376543
0.5,0.0,9,0.3658,0.2694796510993234,0.5529412000000019,160.20215473378778
0.5,0.5,0,0.401,0.40430038631254483,0.7849012499999876,151.77100024657364
0.5,0.5,1,0.403,0.3219039905317464,0.6031563999999952,152.3734212460717
0.5,0.5,2,0.3974,0.3166104643060905,0.4882562999999993,153.4827142069836
0.5,0.5,3,0.3908,0.28493498195134903,0.4182779999999987,154.99984817778846
0.5,0.5,4,0.3896,0.2753533622727062,0.4856085499999951,155.00657130088052
0.5,0.5,5,0.406,0.2540581453999266,0.4320907500000018,151.43421053493188
0.5,0.5,6,0.3854,0.3954613366466233,0.8087561999999962,156.39824273091415
0.5,0.5,7,0.4038,0.2391670427076498,0.4709942999999976,152.94368186509843
0.5,0.5,8,0.4102,0.45851707577617123,0.9530633000000034,150.4144890477917
0.5,0.5,9,0.3996,0.36787372273531577,0.7548345000000046,151.96194152598596
0.5,1.0,0,0.403,0.4996343840525084,0.9699808999999945,151.36523692457118
0.5,1.0,1,0.4112,0.4728196953304272,0.8859294499999992,150.35659741744558
0.5,1.0,2,0.3884,0.40338762016857355,0.6220784499999991,155.83065181394966
0.5,1.0,3,0.3888,0.39304256810562954,0.5769774500000021,155.41705179524956
0.5,1.0,4,0.3944,0.3783749294724118,0.6672956499999904,154.085415499962
0.5,1.0,5,0.4026,0.38974041739748183,0.6628530999999983,152.34986608385856
0.5,1.0,6,0.3902,0.5133450736163678,1.0498397000000048,155.1949396534026
0.5,1.0,7,0.4106,0.42909158510027984,0.8450147999999981,150.75817742817875
0.5,1.0,8,0.3868,0.5285786185846225,1.098691650000015,156.23250846797484
0.5,1.0,9,0.4048,0.5004573112486624,1.0268807499999937,150.98802554719143
0.5,1.5,0,0.366,0.5871878653004501,1.1399555999999968,160.57335242502677
0.5,1.5,1,0.3706,0.5610375845806201,1.0512246500000038,160.04464199974709
0.5,1.5,2,0.3302,0.4775377419769214,0.7364280000000012,169.51229071463243
0.5,1.5,3,0.3596,0.4854435389655289,0.7126199500000056,162.79969579521014
0.5,1.5,4,0.379,0.49260093010073586,0.8687426999999941,158.10152811795822
0.5,1.5,5,0.3676,0.46050800310579665,0.783211449999998,160.5609224069563
0.5,1.5,6,0.3444,0.5958811458927012,1.2186338500000093,166.1675813371611
0.5,1.5,7,0.3512,0.529067005438271,1.0418974999999993,165.5374943176404
0.5,1.5,8,0.3482,0.6026138644670798,1.2525796500000212,165.4555964697409
0.5,1.5,9,0.3722,0.5769540034606214,1.1838431499999897,158.72306487324877
0.5,2.0,0,0.3424,0.630945315536659,1.2249054999999984,166.15937364226227
0.5,2.0,1,0.326,0.6051474631790333,1.1338740000000063,170.94085924213687
0.5,2.0,2,0.291,0.5246349267447734,0.8090582500000021,179.29004881759988
0.5,2.0,3,0.3104,0.5393799085408002,0.7917973000000044,174.70041953079306
0.5,2.0,4,0.345,0.544658469888415,0.9605505000000006,166.24803869285296
0.5,2.0,5,0.3108,0.5068377118437396,0.862006949999996,174.8135253765075
0.5,2.0,6,0.2952,0.6421748275325073,1.3133088500000096,178.11471947435703
0.5,2.0,7,0.2782,0.5832627608523268,1.1486257999999967,183.2442820706162
0.5,2.0,8,0.2978,0.6382812130343719,1.3267170000000197,177.74073015114138
0.5,2.0,9,0.3488,0.6230295190061338,1.2783847999999898,164.00031850031738
1.0,0.0,0,0.3654,0.17665434004879382,0.34295345000000277,160.58189637196404
1.0,0.0,1,0.3996,0.24625719533042814,0.46141584999999674,153.22797431492387
1.0,0.0,2,0.3918,0.26197418943093054,0.4039997500000019,154.76594144963516
1.0,0.0,3,0.3782,0.14383008044403878,0.2111392500000003,157.8239526725464
1.0,0.0,4,0.3724,0.17450393535456293,0.3077521999999995,159.36726162172988
1.0,0.0,5,0.3984,0.15136251078087332,0.25743060000000223,153.21846968738006
1.0,0.0,6,0.3696,0.2653637690758188,0.5426942499999974,160.1128344495291
1.0,0.0,7,0.397,0.14238324616113862,0.28039690000000095,154.6672140750649
1.0,0.0,8,0.398,0.24218742764733384,0.5034053500000001,153.44417114906892
1.0,0.0,9,0.3974,0.29804838458767535,0.6115609500000019,152.48652977438712
1.0,0.5,0,0.4204,0.4297892984861145,0.8343849499999892,147.20856021633531
1.0,0.5,1,0.4214,0.33498895669949674,0.627673899999995,147.8038873880578
1.0,0.5,2,0.425,0.33961628668605287,0.5237343999999984,146.8075119273755
1.0,0.5,3,0.4188,0.31654062018682566,0.46467434999999935,148.2403543559661
1.0,0.5,4,0.4088,0.28296607392738443,0.49903419999999443,150.6363429384917
1.0,0.5,5,0.429,0.3058365801994981,0.520153199999999,145.7991206615571
1.0,0.5,6,0.4156,0.4311949246379921,0.8818347999999986,148.84614333765396
1.0,0.5,7,0.4286,0.2735401804605704,0.5386856999999965,146.774460633964
1.0,0.5,8,0.4266,0.46812626740820923,0.9730367500000054,146.46557450505145
1.0,0.5,9,0.4302,0.43485950088426234,0.8922815999999995,144.7843745343233
1.0,1.0,0,0.4256,0.5226427687006767,1.0146489499999942,145.86371910353822
1.0,1.0,1,0.4348,0.4920843893458252,0.9220259999999998,144.5219965188714
1.0,1.0,2,0.4166,0.42359573155591634,0.653242099999997,148.78354368743516
1.0,1.0,3,0.4058,0.39897072638058845,0.5856798500000016,151.39865297271166
1.0,1.0,4,0.4202,0.39713710124752716,0.7003842999999896,147.92478601908158
1.0,1.0,5,0.4292,0.4048061645080221,0.6884762499999967,145.86942492984912
1.0,1.0,6,0.4132,0.5231682334639157,1.0699290000000057,149.3986882603505
1.0,1.0,7,0.4368,0.44556920045718346,0.8774643499999981,144.45586119499103
1.0,1.0,8,0.4078,0.5419124727869837,1.1264071000000164,151.2225640418658
1.0,1.0,9,0.4234,0.514480101416999,1.0556538999999927,146.563372171583
1.0,1.5,0,0.39,0.6045490340022832,1.1736602499999982,154.4127615057138
1.0,1.5,1,0.4104,0.5757386981756847,1.0787703500000032,150.34751764767697
1.0,1.5,2,0.3646,0.49663285144102304,0.7658752500000002,161.4904629987373
1.0,1.5,3,0.3894,0.49670641978723,0.7291536000000041,155.37276858815684
1.0,1.5,4,0.3956,0.5128975914744864,0.9045375499999969,154.05438256778245
1.0,1.5,5,0.3848,0.4779426094411524,0.8128634499999982,156.5558123766382
1.0,1.5,6,0.3804,0.6064147126625657,1.2401760000000088,157.44863087605574
1.0,1.5,7,0.3892,0.5470176232444334,1.0772478500000016,156.10638826952206
1.0,1.5,8,0.3568,0.6152344424195358,1.2788125000000217,163.27320586255243
1.0,1.5,9,0.399,0.5899011484465385,1.210409199999989,152.22609579242285
1.0,2.0,0,0.356,0.6405005477027862,1.2434558499999995,162.8982311740919
1.0,2.0,1,0.3462,0.6122802173990985,1.1472387500000065,165.8378312119862
1.0,2.0,2,0.3018,0.5376861452594611,0.8291850000000032,176.83528162091463
1.0,2.0,3,0.3472,0.551150631106619,0.8090764500000074,165.6557299770711
