alpha,beta,hit_rate_mean,hit_rate_std,cwhr_mean,cwhr_std,savings_mean,savings_std,latency_mean,latency_std
0.0,0.0,0.33446,0.015144650687435632,0.16466032049479437,0.035818545193837974,0.3063667250000007,0.08888516101745542,168.7343821445523,3.4909475425428527
0.0,0.5,0.36225999999999997,0.008137184880398003,0.28547190327785127,0.05208255459169482,0.5330437349999986,0.14687354581438852,161.95273709776748,1.7026495606893164
0.0,1.0,0.36612,0.008488528206415484,0.4179414225032755,0.062293257804997434,0.7802478949999989,0.1956182521857602,161.0186668652413,2.1355070011544424
0.0,1.5,0.33496000000000004,0.015162468283378016,0.5133833703998613,0.05777114960532794,0.9561747650000012,0.20862672103301594,168.5486760611062,3.8729199442131774
0.0,2.0,0.29262,0.025510511994513606,0.5658964063343087,0.05664565087524251,1.052729685000002,0.2169532701768866,178.8506718487002,6.706063054129506
0.5,0.0,0.36078,0.011689482452187514,0.18025700747861031,0.04928691217462452,0.3362612050000006,0.11663591924097315,162.34605018852642,2.584139412805383
0.5,0.5,0.39868000000000003,0.007887655615651022,0.3318180508640124,0.07226760905351777,0.619993954999998,0.19027417365987295,153.078612088302,1.8816461814290504
0.5,1.0,0.39808,0.009436195090065597,0.45084722030769653,0.05804755091015591,0.8405541899999995,0.19515907766156448,153.25784706317842,2.3283610629568954
0.5,1.5,0.3589,0.015100036791713818,0.5368831683288726,0.05430781194784978,0.9989136500000019,0.20699810089850235,162.7476168457322,3.7590563568802713
0.5,2.0,0.31456,0.024875655211917973,0.583835211615876,0.051123329105449346,1.0849228950000023,0.21115696394634825,173.52523154985846,6.44794544551922
1.0,0.0,0.38678,0.013745124388103748,0.2102565078861594,0.05833779079081097,0.39227485500000037,0.13377707852303972,155.96962455662293,3.1651259291361473
1.0,0.5,0.42244000000000004,0.006801829819165509,0.3617458689576406,0.07186173871796465,0.6755493849999976,0.19638380215643172,147.33663304987763,1.6482605637696235
1.0,1.0,0.42134,0.010641658183238601,0.4664366889863638,0.05817919608830389,0.8693911799999992,0.1981604014374655,147.60026089002776,2.554693892829708
1.0,1.5,0.38602,0.01576816765230225,0.5523035131094933,0.05257933577906909,1.0271506000000021,0.20735279148605504,156.12880264852586,3.9184558423987954
1.0,2.0,0.3383,0.02417036753271796,0.5951252201796474,0.04848136577259638,1.105343960000003,0.2092464027754826,167.715599629409,6.11118357098845
1.5,0.0,0.40599999999999997,0.011141912861902208,0.24621138619562727,0.06467286987289912,0.4568750199999985,0.14303973266010134,151.2623088070324,2.6472956825166825
1.5,0.5,0.43600000000000005,0.005282255410544088,0.3784022291881495,0.06787031402115003,0.7066704399999976,0.19467142349972544,144.06406739653795,1.2715930921251926
1.5,1.0,0.43628,0.009554149767393112,0.47833648177663307,0.05947483369915267,0.8916783749999995,0.20289029949722664,143.98374637560818,2.3347451702326287
1.5,1.5,0.40434000000000003,0.01409146313671272,0.5568006070002494,0.05198413126855319,1.0353712250000016,0.20740725266281465,151.6769446362832,3.416289239663107
1.5,2.0,0.36626,0.01937949661082271,0.5976857586356152,0.04721415357137373,1.1097692900000034,0.2069768064655245,160.94313129394467,4.7692747023650774
2.0,0.0,0.4204,0.007166589146867584,0.2894452930271661,0.08574921837291677,0.541162054999998,0.20155768967239854,147.81188060166193,1.8045835776402401
2.0,0.5,0.44494,0.006002999250374767,0.39278184537034494,0.06077097656849789,0.7334142199999975,0.18742950366926145,141.9010604377572,1.3424371087844837
2.0,1.0,0.4427,0.007887120302535437,0.480661301833765,0.05726171938395465,0.8948356199999994,0.19733849333429399,142.36628291589244,1.9476331913163714
2.0,1.5,0.41334,0.013077223626511031,0.5589697538611235,0.05341688293128947,1.0393269250000017,0.20921040721127204,149.50948007710852,3.1438204626060404
2.0,2.0,0.3816,0.02100920433206994,0.59743581101558,0.047859821011960624,1.109723860000003,0.20967196866789825,157.22767852719284,5.112110137256788
